Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
83,2.47,2.6,2.17,2.15,2,2,3,2,3,2,2,2,2,3,2,3,2,3,2.68
84,2.44,3,2.16,2.78,1,2,4,2,4,3,4,3,4,2,2,2,3,1,2.68
85,2.47,2.42,2.47,2.21,3,2,2,2,2,2,3,2,2,2,2,3,3,2,2.69
86,2.58,2.32,2.2,2.42,3,1,2,2,3,2,2,2,2,3,3,2,3,3,2.69
87,2.63,2.53,2.32,2.84,2,2,2,3,3,4,3,2,4,3,2,2,2,2,2.69
88,2.33,2.68,2.9,2.53,2,1,2,2,2,3,2,3,3,3,1,2,2,3,2.7
89,2,2.84,2.74,2.3,2,1,2,2,4,2,4,2,3,3,1,2,2,2,2.7
90,2.47,2.15,2.29,2.4,2,2,2,2,3,3,2,2,3,2,3,2,2,2,2.7
91,2.78,2.58,2.19,2.35,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2.7
92,2.79,2.37,2.25,2.32,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2.71
93,2.61,2.58,2.44,2.29,2,2,2,2,2,4,3,2,2,3,2,3,2,2,2.71
94,2.72,2.76,2.71,2.94,2,2,2,1,3,3,4,3,4,2,2,3,3,2,2.71
95,2.83,2.47,2.17,2.57,2,2,1,2,2,2,3,4,2,3,2,2,2,2,2.71
96,2.39,2.58,2.56,2.59,2,1,2,2,2,4,3,3,2,3,2,3,2,2,2.71
97,2.61,2.42,2.62,2.34,3,1,2,2,2,3,2,3,2,2,2,2,2,4,2.72
98,2.78,2.76,2.47,2.53,3,2,2,2,4,3,2,3,3,3,2,2,2,3,2.72
99,3.05,2.58,2.17,2.18,3,3,3,2,2,2,4,2,1,3,2,2,2,1,2.73
100,2.63,2.37,2.35,1.95,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2.73
101,2.56,2.95,2.83,2.37,3,1,3,2,2,3,4,4,2,3,2,3,2,2,2.73
102,2.79,2.35,2.63,2.74,2,2,3,2,3,2,2,4,2,3,2,2,4,3,2.73
103,2.79,2.42,2.55,2.37,2,2,2,2,4,3,2,4,2,2,1,3,2,2,2.73
104,3,2.16,2.65,2.26,2,2,2,2,3,2,3,3,2,2,2,2,3,2,2.74
105,2.94,2.42,2.42,2.47,2,2,2,2,2,2,3,4,3,2,3,2,2,2,2.74
106,2,2.58,2.75,2.21,1,1,2,2,2,2,4,2,1,4,3,2,2,3,2.74
107,2.56,2.36,2.79,2.52,3,2,2,2,3,2,3,3,2,3,2,2,3,4,2.74
108,2.83,2.79,2.94,2.62,2,3,2,2,3,3,2,3,4,2,2,2,2,4,2.74
109,2.94,2.71,2.38,2.21,2,2,2,2,4,3,3,2,2,3,2,3,2,2,2.74
110,2.83,2.58,2.42,2.41,2,2,2,2,3,3,2,2,3,3,1,1,2,1,2.74
111,2.67,3.05,2.67,2.17,3,2,3,2,3,3,4,2,2,3,2,3,1,3,2.75
112,2.79,2.39,2.37,2.89,2,3,3,2,2,3,2,2,4,3,3,3,4,2,2.75
113,2.84,2.53,2.63,2.42,2,2,2,2,3,2,2,4,2,3,2,2,3,3,2.75
114,2.42,2.37,2.05,2.63,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.75
115,2.72,2.95,2.5,2.3,3,2,3,2,4,3,2,2,2,2,2,2,3,4,2.75
116,2.5,2.81,2.74,2,3,2,2,3,2,3,3,3,2,3,2,2,1,2,2.75
117,2.39,2.58,3.08,2.19,2,2,2,2,3,4,3,3,3,2,3,2,2,1,2.75
118,2.61,2.5,2.65,2.35,3,2,2,2,2,4,3,2,2,2,2,2,2,1,2.75
119,2.35,2.37,2.47,2.48,2,1,2,3,2,2,3,3,2,3,2,2,2,3,2.75
120,2.39,2.82,2.16,2.56,2,2,2,2,3,2,3,2,3,2,2,3,2,3,2.76
121,2.68,2.42,2.65,2.32,2,2,3,2,4,4,2,2,2,2,2,2,2,4,2.76
122,3.06,2.58,2.15,2.68,3,2,2,2,3,2,3,2,2,4,2,2,2,2,2.76
123,2.68,2.67,2.77,2.32,2,2,2,2,4,4,4,3,2,2,1,2,2,3,2.77
124,2.67,2.33,3,2.56,2,3,2,1,2,3,3,2,2,3,2,2,3,3,2.77
125,3,2.48,2.33,2.24,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2.77
126,2.83,2.67,2.25,2.79,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2.78
127,2.78,2.52,2.5,2.24,3,2,3,2,2,3,2,3,2,2,1,2,2,3,2.78
128,2.78,2.84,2.71,2.43,2,2,2,1,4,3,3,2,3,3,3,2,2,2,2.78
129,2.89,2.61,2.37,3.26,2,2,3,2,3,3,2,3,4,4,2,2,4,2,2.78
130,2.74,2.42,2.79,2.63,2,2,2,2,3,3,2,4,4,2,2,3,3,3,2.78
131,2.28,2.63,2.71,2.47,2,2,2,3,3,3,2,3,4,3,2,2,2,3,2.78
132,2.84,2.82,2.68,2.42,2,2,3,2,3,3,2,3,2,2,2,4,4,2,2.79
133,2.89,3.32,2.35,2.47,3,3,4,3,3,2,2,2,2,2,3,4,3,3,2.79
134,2.74,2.74,2.4,2.32,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2.79
135,3.06,2.58,2.89,2.48,2,4,2,2,2,3,4,2,2,3,2,2,2,4,2.79
136,2.74,2.63,2.63,2.26,2,2,3,2,3,2,2,3,2,2,2,2,2,4,2.8
137,2.61,2.95,3.17,2.33,2,2,3,3,3,4,3,3,2,3,2,2,1,4,2.8
138,2.94,2.32,2.94,2.42,2,2,1,2,3,4,3,2,3,3,2,2,3,1,2.8
139,3.22,2.57,2.75,2.12,3,2,2,2,3,3,4,2,2,3,2,2,2,2,2.8
140,2.94,2.74,2.74,2.35,2,2,2,2,3,3,2,2,3,3,2,3,2,2,2.8
141,3,2.12,2.63,3,2,2,2,2,4,3,2,3,2,2,2,2,4,2,2.8
142,3.11,2.47,2.5,2.47,2,2,2,2,4,3,3,2,2,3,2,2,2,2,2.8
143,2.78,2.53,2.72,2.26,3,3,1,2,2,3,2,1,3,3,2,2,2,4,2.81
144,2.58,3.11,2.61,2.55,2,2,3,4,2,2,2,3,4,2,2,4,2,4,2.81
145,2.83,2.46,2.85,2.23,2,2,3,1,2,4,4,2,2,2,2,2,2,1,2.81
146,2.4,2.71,2.92,2.45,4,4,2,2,3,2,3,3,4,4,2,2,2,2,2.81
147,2.78,2.68,2.76,2.2,2,2,2,2,2,2,4,3,2,2,1,3,2,3,2.81
148,2.94,2.63,2.5,2.48,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2.81
149,2.63,2.32,2.65,2.21,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2.82
150,2.56,3.16,2.05,2.35,3,2,2,3,3,3,2,2,2,4,1,3,2,2,2.82
151,3.06,2.59,3.5,2,3,2,3,3,2,4,4,2,2,2,2,2,3,2,2.82
152,2.83,2.47,2.32,2.58,2,2,3,2,2,4,3,2,2,3,2,2,3,2,2.82
153,2.44,2.95,2.63,2.35,1,2,4,2,4,2,3,2,2,2,2,2,2,1,2.82
154,2.56,2.63,2.56,2.21,2,2,1,2,2,3,4,2,2,3,1,2,2,1,2.83
155,2.29,2.65,2.7,2.65,3,2,2,3,4,2,3,2,4,2,2,3,3,2,2.83
156,3.11,2.63,2.26,2.95,2,2,2,2,4,2,2,3,3,2,4,2,4,2,2.83
157,2.89,2.36,2.38,2.82,2,1,2,2,2,2,3,2,2,4,2,2,2,2,2.83
158,2.83,2.92,3.12,2.26,2,2,2,2,3,4,4,3,2,2,4,2,2,1,2.83
159,2.33,2.91,2.79,2.82,2,2,3,2,3,3,2,2,3,4,2,2,2,2,2.83
160,2.61,2.47,2.37,3.11,2,3,2,2,3,2,2,2,3,3,2,3,4,1,2.84
161,2.94,2.47,2.55,2.55,3,2,1,2,2,3,1,4,2,4,2,2,2,2,2.84
162,3.11,3,2.67,2.53,1,2,3,2,4,3,1,3,2,3,2,2,3,2,2.84
163,3.11,2.67,2.5,2.18,4,2,2,2,3,2,2,3,3,2,2,2,3,2,2.84
164,2.68,2.42,2.32,3.05,3,3,3,2,2,3,2,2,4,3,2,3,3,3,2.84
165,3.06,3.05,2.56,2.62,4,2,3,3,4,3,3,4,2,2,2,2,3,3,2.84
166,2.79,2.65,2.5,2.4,2,2,3,3,4,2,4,3,2,3,2,4,2,2,2.85
167,2.72,2.74,2.8,2.38,3,2,2,2,4,3,2,3,2,3,2,2,2,1,2.85
168,3.11,2.63,2.21,2.37,3,3,3,2,3,2,3,2,2,3,2,2,2,2,2.85
169,3,2.37,2.9,2.16,2,2,2,3,3,4,3,2,2,3,2,2,2,4,2.85
170,2.72,2.58,2.43,2.46,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2.85
171,2.89,2.76,2.95,2.95,2,3,4,2,4,4,2,4,2,2,2,3,4,3,2.86
172,2.5,3.05,2.67,2.29,3,1,4,3,4,3,2,2,3,3,2,2,1,2,2.86
173,2.28,2.68,2.5,2.52,2,2,3,2,3,3,3,2,3,4,2,2,2,2,2.86
174,2.26,2.45,2.89,2.55,3,2,3,2,2,4,2,3,3,3,2,3,2,3,2.86
175,2.56,2.84,2.94,2.62,1,2,1,3,2,4,3,3,2,3,2,2,2,3,2.87
176,2.72,3.05,2.74,2.58,2,2,3,2,3,3,3,2,2,4,2,3,2,3,2.87
177,2.74,2.84,2.35,2.37,2,2,2,2,3,2,3,3,3,2,2,3,2,2,2.87
178,2.39,2.33,3.17,2.33,1,2,2,2,2,2,4,3,3,2,4,2,3,2,2.87
179,3.05,2.37,2.95,2.26,3,2,2,2,3,3,2,4,2,2,3,2,2,4,2.87
180,3.32,3.05,2.32,2.32,3,2,3,3,4,2,2,2,3,2,3,2,2,2,2.88
181,3.11,2.4,2.63,2.79,2,2,3,2,4,2,3,3,2,3,2,2,4,2,2.88
182,2.82,3.21,2.39,2.71,2,3,2,3,4,2,3,4,2,3,3,3,3,2,2.88
183,3.11,3.05,2.63,2.5,4,2,2,3,2,3,2,2,3,3,1,4,2,2,2.88
184,2.78,2.64,2.68,2.47,3,2,2,2,2,2,2,2,3,3,3,2,2,1,2.88
185,2.61,3.11,3.11,2.15,2,3,2,4,4,4,2,3,2,3,2,2,1,4,2.88
186,2.84,2.94,2.53,2.53,3,2,2,3,3,2,2,2,3,2,2,3,2,3,2.88
187,3,2.63,2.82,2.43,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2.88
188,2.82,2.78,3.1,2.66,2,3,3,2,3,4,4,3,3,2,2,3,2,2,2.88
189,2.63,2.63,2.9,2.68,2,2,2,3,2,3,2,3,2,4,2,2,3,3,2.89
190,2.94,2.68,2.53,2.32,2,2,2,3,2,3,3,2,2,2,2,4,2,3,2.89
191,2.76,2.94,3.11,2.35,1,3,2,3,3,3,4,4,2,2,2,2,2,2,2.89
192,2.56,2.95,3.28,2.72,3,1,3,3,3,3,4,2,4,3,3,2,3,3,2.89
193,2.53,2.68,2.72,2.89,3,2,3,2,3,4,4,2,3,3,3,2,3,2,2.9
194,2.42,2.47,2.4,1.95,2,2,2,2,2,2,2,4,2,1,3,2,2,2,2.9
195,3,2.84,2.65,2.42,2,2,2,2,4,3,2,2,2,3,2,3,2,3,2.9
196,2.63,2.95,2.8,2.42,2,4,3,3,3,2,4,4,2,3,2,2,2,1,2.9
197,3.16,2.58,2.53,2.68,4,2,3,2,3,2,2,2,2,3,3,2,3,3,2.9
198,2.95,2.63,2.84,2.63,2,2,2,2,4,3,4,3,3,2,2,2,3,3,2.91
199,2.83,2.74,2.5,2.26,2,2,2,3,3,3,2,3,2,2,3,2,3,2,2.91
200,2.89,2.76,2.84,3.32,2,2,4,3,3,3,2,2,3,3,2,2,4,4,2.91
201,2.61,3.32,2.4,2.68,2,2,4,2,2,3,3,3,3,3,2,3,2,2,2.91
202,2.61,2.63,2.7,2.21,3,2,1,3,2,3,2,3,3,3,2,2,2,2,2.91
203,2.94,2.57,2.76,2.6,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2.91
204,2.94,3.11,2.81,2.41,3,2,2,3,4,2,3,3,2,3,2,3,2,4,2.92
205,2.78,2.42,2.74,2.42,2,2,1,2,3,4,2,4,2,3,2,2,2,2,2.92
206,3.11,2.53,2.75,2.42,2,2,2,2,4,3,3,3,2,2,3,2,3,3,2.93
207,3,2.9,2.58,2.67,2,2,2,2,3,2,4,2,2,3,2,2,2,2,2.93
208,3.39,2.84,2.5,2.67,4,3,2,2,2,2,3,4,2,4,2,4,2,3,2.93
209,2.95,2.78,3.11,2.79,3,2,3,2,3,3,3,3,2,2,3,2,4,3,2.93
210,2.89,2.79,2.74,2.63,3,2,2,2,3,3,2,3,4,2,3,3,3,3,2.93
211,3,2.86,2.63,2.6,2,2,2,2,4,2,3,3,2,3,3,3,3,4,2.93
212,2.83,3,2.16,2.52,2,2,1,2,4,3,4,2,2,2,2,2,2,2,2.93
213,2.89,3.16,2.63,2.32,1,4,2,2,4,3,3,3,2,3,2,3,1,2,2.94
214,3.42,2.26,2.74,2.42,3,3,3,2,4,4,2,3,3,3,3,3,2,3,2.94
215,2.94,2.89,2.47,2.42,2,2,3,2,3,2,4,2,2,3,3,2,2,2,2.94
216,3.22,2.74,2.56,2.95,3,2,2,2,2,3,2,3,2,4,1,2,3,1,2.94
217,3.42,2.58,2.45,2.79,2,3,2,2,4,2,2,4,3,2,3,2,2,2,2.94
218,3.32,2.89,3.21,2.21,4,3,3,3,3,4,3,2,2,2,2,2,2,4,2.95
219,2.89,3.11,2.11,2.74,2,3,3,2,3,3,3,2,3,4,3,3,2,1,2.95
220,2.5,2.89,2.79,2.42,3,3,3,2,4,3,4,4,3,2,2,2,2,1,2.95
221,3.11,2.74,2.39,2.73,3,2,2,2,3,3,2,2,4,3,2,2,1,2,2.95
222,2.61,2.84,2.21,3.05,2,2,3,2,2,3,4,2,4,3,2,3,4,2,2.95
223,3.28,2.63,2.16,2.63,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2.96
224,2.68,2.58,2.55,2.42,2,2,3,3,3,2,3,3,2,3,2,2,2,3,2.96
225,2.67,2.33,2.58,2.82,1,2,2,2,2,2,3,3,2,2,2,2,3,2,2.96
226,2.72,3.1,2.53,2.32,2,2,2,3,2,3,4,3,3,2,2,2,1,2,2.97
227,3.05,3.11,2.84,2.37,3,2,3,2,3,4,2,3,2,2,2,4,2,3,2.97
228,3.05,2.84,2.63,2.37,3,2,3,2,4,4,2,2,3,2,2,4,2,3,2.97
229,2.89,3,2.94,2.42,2,2,3,2,2,3,4,3,2,3,2,3,2,2,2.97
230,2.78,2.58,3,2.58,3,2,2,3,2,4,4,3,2,3,2,2,2,3,2.97
